"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate","Stage1","Stage2","Stage3","Stage4","Sector1","Sector2","Prediction","Corret","Error"
"159","603878.SH","武进不锈",2016-12-19,TRUE,7,18.1622010429779,22.98,9.47,0.0371,0,0,0,0,1,0,10.9909400618007,FALSE,3.99094006180065
"160","603098.SH","森特股份",2016-12-16,TRUE,8,23.6484697158857,22.98,3.67,0.0483,0,0,0,0,1,0,14.5913256761786,FALSE,6.59132567617864
"161","002831.SZ","裕同科技",2016-12-16,TRUE,5,13.2448358050848,22.99,6.03,0.0329,0,0,0,0,0,0,11.4567471268367,FALSE,6.4567471268367
"162","603389.SH","亚振家居",2016-12-15,TRUE,9,33.7355967712121,22.97,3.7,0.0392,0,0,0,0,1,0,15.8646252612313,FALSE,6.86462526123134
"163","603585.SH","苏利股份",2016-12-14,TRUE,8,30.0120048019208,22.99,12.86,0.0274,0,0,0,0,1,0,11.4918879066622,TRUE,3.49188790666224
"164","603708.SH","家家悦",2016-12-13,TRUE,8,25.6410256410256,21.65,6.26,0.0511,0,0,0,0,1,0,13.0241554251186,FALSE,5.02415542511863
"165","002829.SZ","星网宇达",2016-12-13,TRUE,12,23.1707317073171,22.99,8.36,0.0134,0,0,0,0,0,0,12.1466506130938,FALSE,0.14665061309381
"166","002830.SZ","名雕股份",2016-12-13,TRUE,11,24.8805970149257,22.96,7.91,0.0126,0,0,0,0,0,0,12.5166382265784,FALSE,1.51663822657842
"167","300571.SZ","平治信息",2016-12-13,TRUE,20,43.4782608695652,22.97,5.67,0.0117,0,0,0,0,0,1,15.4001175674545,FALSE,-4.59988243254553
"168","603928.SH","兴业股份",2016-12-12,TRUE,9,21.8987616771668,19.06,4.92,0.0369,0,0,0,0,1,0,13.4480044432527,FALSE,4.44800444325269
"169","603036.SH","如通股份",2016-12-09,TRUE,11,27.7814207650272,22.95,4.61,0.037,0,0,0,0,1,0,14.413764960725,FALSE,3.41376496072504
"170","002826.SZ","易明医药",2016-12-09,TRUE,14,35.7476635514023,22.98,2.77,0.0305,0,0,0,0,0,0,17.341145829287,FALSE,3.34114582928701
"171","002827.SZ","高争民爆",2016-12-09,TRUE,11,23.3858668022371,22.97,3.69,0.0303,0,0,0,0,0,0,14.6996036540327,FALSE,3.69960365403266
"172","603990.SH","麦迪科技",2016-12-08,TRUE,15,39.2156862745098,22.99,4.48,0.0166,0,0,0,0,1,0,15.8866079972846,TRUE,0.886607997284624
"173","002828.SZ","贝肯能源",2016-12-08,TRUE,11,32.530254246697,22.97,6.71,0.0251,0,0,0,0,0,0,13.7314268723778,FALSE,2.73142687237778
