"","Date","Close","ChgPer","Vol","Amt","Hsl"
"1","2004-03-02",12.21,62.8,31467965,389794283,52.446608333333
"2","2004-03-03",11.91,-2.4570024570025,9257258,110674987,15.428763333333
"3","2004-03-04",11.94,0.25188916876574,5933821,70889107,9.8897016666667
"4","2004-03-05",11.75,-1.5912897822446,5210158,61940288,8.6835966666667
"5","2004-03-08",11.53,-1.8723404255319,5285623,60714251,8.8093716666667
"6","2004-03-09",11.68,1.3009540329575,3569055,41230725,5.948425
"7","2004-03-10",11.71,0.2568493150685,3749538,43812772,6.24923
"8","2004-03-11",11.71,0,3471516,40699075,5.78586
"9","2004-03-12",11.63,-0.68317677198975,2437847,28310449,4.0630783333333
"10","2004-03-15",11.68,0.42992261392948,2764125,32053867,4.606875
"11","2004-03-16",11.83,1.2842465753425,3464953,40752014,5.7749216666667
"12","2004-03-17",11.9,0.59171597633136,3403564,40510952,5.6726066666667
"13","2004-03-18",11.57,-2.7731092436975,3244439,37683875,5.4073983333333
"14","2004-03-19",11.64,0.60501296456353,2198255,25305921,3.6637583333333
"15","2004-03-22",11.59,-0.42955326460482,1933837,22489754,3.2230616666667
"16","2004-03-23",11.46,-1.1216566005177,1894735,21728284,3.1578916666667
"17","2004-03-24",11.45,-0.087260034904028,1529617,17492422,2.5493616666667
"18","2004-03-25",11.54,0.78602620087336,1372359,15707578,2.287265
"19","2004-03-26",11.43,-0.95320623916811,930654,10695224,1.55109
"20","2004-03-29",11.22,-1.8372703412073,1475953,16774388,2.4599216666667
"21","2004-03-30",11.33,0.98039215686274,1314743,14806508,2.1912383333333
"22","2004-03-31",11.28,-0.44130626654899,1695467,19226532,2.8257783333333
"23","2004-04-01",11.51,2.0390070921986,2477081,28342006,4.1284683333333
"24","2004-04-02",11.47,-0.34752389226759,1121376,12881641,1.86896
"25","2004-04-05",11.52,0.43591979075849,1643751,18851321,2.739585
"26","2004-04-06",11.61,0.78125,1507278,17460316,2.51213
"27","2004-04-07",11.44,-1.464254952627,1448040,16730732,2.4134
"28","2004-04-08",11.3,-1.2237762237762,1433716,16278536,2.3895266666667
"29","2004-04-09",11.2,-0.8849557522124,1543353,17389949,2.572255
"30","2004-04-12",11,-1.7857142857143,1592462,17581885,2.6541033333333
"31","2004-04-13",10.98,-0.18181818181818,1050487,11598559,1.7508116666667
"32","2004-04-14",10.62,-3.2786885245902,1780240,19023566,2.9670666666667
"33","2004-04-15",10.13,-4.6139359698682,1942041,20141513,3.236735
"34","2004-04-16",10.26,1.2833168805528,2165851,21730647,3.6097516666667
"35","2004-04-19",9.84,-4.093567251462,956427,9578169,1.594045
"36","2004-04-20",10.06,2.2357723577236,1133635,11311403,1.8893916666667
"37","2004-04-21",10.04,-0.19880715705767,605855,6083147,1.0097583333333
"38","2004-04-22",10.04,NA,NA,NA,NA
"39","2004-04-23",9.51,-5.2788844621514,1088290,10479068,1.8138166666667
"40","2004-04-26",9.3,-2.2082018927445,1388871,12874163,2.314785
"41","2004-04-27",8.37,-10,3457063,29269223,5.7617716666667
"42","2004-04-28",8.58,2.5089605734767,3405667,29203848,5.6761116666667
"43","2004-04-29",8.71,1.5151515151515,2469950,21436520,4.1165833333333
"44","2004-04-30",8.71,0,1512380,13117951,2.5206333333333
"45","2004-05-10",8.53,-2.0665901262916,734834,6302294,1.2247233333333
"46","2004-05-11",8.7,1.9929660023447,1080538,9362509,1.8008966666667
"47","2004-05-12",8.96,2.9885057471265,1503246,13345949,2.50541
"48","2004-05-13",8.84,-1.3392857142857,1092601,9677114,1.8210016666667
"49","2004-05-14",8.55,-3.2805429864253,1076620,9296107,1.7943666666667
"50","2004-05-17",8.53,-0.23391812865499,577829,4921220,0.96304833333333
"51","2004-05-18",8.68,1.7584994138335,931457,8018368,1.5524283333333
"52","2004-05-19",8.67,-0.11520737327189,825969,7234150,1.376615
"53","2004-05-20",8.51,-1.8454440599769,612885,5248927,1.021475
"54","2004-05-21",8.58,0.82256169212691,363051,3098292,0.605085
"55","2004-05-24",7.82,-8.8578088578089,5297822,41865293,8.8297033333333
"56","2004-05-25",7.8,-0.25575447570333,2283447,17918231,3.805745
"57","2004-05-26",7.68,-1.5384615384615,1408917,10936773,2.348195
"58","2004-05-27",7.97,3.7760416666667,2323635,18384642,3.872725
"59","2004-05-28",7.81,-2.0075282308657,1235576,9757038,2.0592933333333
"60","2004-05-31",7.94,1.6645326504482,973840,7683823,1.6230666666667
"61","2004-06-01",8.42,6.0453400503778,4671045,38472072,7.785075
"62","2004-06-02",8.89,5.5819477434679,10786147,95773304,17.976911666667
"63","2004-06-03",8.85,-0.44994375703038,4139704,36315397,6.8995066666667
"64","2004-06-04",8.7,-1.6949152542373,1664991,14585709,2.774985
"65","2004-06-07",8.55,-1.7241379310345,1702579,14739323,2.8376316666667
"66","2004-06-08",8.28,-3.1578947368421,1443909,12077907,2.406515
"67","2004-06-09",8.06,-2.6570048309179,1095380,9043082,1.8256333333333
"68","2004-06-10",8,-0.74441687344914,1322791,10620744,2.2046516666667
