"","Date","Close","ChgPer","Vol","Amt","Hsl"
"1","2011-04-07",20.83,-4.7989031078611,6074517,128651353.51,28.25356744186
"2","2011-04-08",21.02,0.91214594335094,2933354,61122761.83,13.643506976744
"3","2011-04-11",20.49,-2.5214081826832,1825860,37624613.49,8.4923720930233
"4","2011-04-12",20.7,1.0248901903368,892462,18303636.15,4.1509860465116
"5","2011-04-13",20.81,0.53140096618357,1154330,24028049.56,5.368976744186
"6","2011-04-14",20.55,-1.2493993272465,830865,17134026,3.864488372093
"7","2011-04-15",20.51,-0.19464720194647,494232,10125914.7,2.2987534883721
"8","2011-04-18",20.72,1.0238907849829,787377,16242342.36,3.6622186046512
"9","2011-04-19",20.13,-2.8474903474903,1225377,24844455.47,5.6994279069767
"10","2011-04-20",20.22,0.44709388971684,414229,8363029.22,1.9266465116279
"11","2011-04-21",20.17,-0.24727992087041,488669,9875760.25,2.2728790697674
"12","2011-04-22",20.06,-0.5453644025781,428541,8619880.57,1.9932139534884
"13","2011-04-25",19.83,-1.1465603190429,488643,9718019.98,2.2727581395349
"14","2011-04-26",19.38,-2.2692889561271,479900,9385771.16,2.2320930232558
"15","2011-04-27",19,-1.9607843137255,397400,7641012.52,1.8483720930233
"16","2011-04-28",18.57,-2.2631578947368,382950,7203062.2,1.7811627906977
"17","2011-04-29",18.83,1.4001077005923,222525,4176729.76,1.035
"18","2011-05-03",18.91,0.42485395645248,186807,3517989.56,0.86886976744186
"19","2011-05-04",18.44,-2.4854574299312,281662,5239715.2,1.3100558139535
"20","2011-05-05",18.43,-0.054229934924087,503991,9230379.95,2.3441441860465
"21","2011-05-06",18.34,-0.48833423765599,244931,4474020.39,1.1392139534884
"22","2011-05-09",18.42,0.4362050163577,224617,4140367.34,1.0447302325581
"23","2011-05-10",18.41,-0.054288816503809,184662,3384369.57,0.85889302325581
"24","2011-05-11",18.42,0.054318305268884,210227,3871976.88,0.9778
"25","2011-05-12",18.35,-0.3800217155266,193190,3551107.24,0.89855813953488
"26","2011-05-13",18.71,1.9618528610354,333871,6187931.71,1.552888372093
"27","2011-05-16",19.27,2.9930518439337,868579,16607139.06,4.0399023255814
"28","2011-05-17",18.82,-2.3352361183186,310390,5869044,1.4436744186047
"29","2011-05-18",18.74,-0.42507970244422,244391,4597384,1.1367023255814
"30","2011-05-19",18.59,-0.80042689434364,278100,5200264,1.293488372093
"31","2011-05-20",18.28,-1.6675632060247,238600,4388441,1.1097674418605
"32","2011-05-23",17.83,-2.4617067833698,261900,4718175.29,1.2181395348837
"33","2011-05-24",18.01,1.0095344924285,305753,5447847.21,1.4221069767442
"34","2011-05-25",17.46,-3.0538589672404,194300,3442005,0.90372093023256
"35","2011-05-26",17.46,0,154150,2707442,0.71697674418605
"36","2011-05-27",17.2,-1.4891179839634,220465,3814214.8,1.0254186046512
"37","2011-05-30",17.06,-0.8139534883721,147387,2539623,0.68552093023256
"38","2011-05-31",17.3,1.4067995310668,161625,2775280.85,0.75174418604651
"39","2011-06-01",17.39,0.52023121387283,152288,2646368.79,0.70831627906977
"40","2011-06-02",16.88,-2.9327199539966,302814,5131058.19,1.4084372093023
"41","2011-06-03",17.05,1.0071090047393,130865,2228037.46,0.60867441860465
"42","2011-06-07",17.14,0.52785923753666,115545,1972446.79,0.53741860465116
"43","2011-06-08",17,-0.81680280046675,116343,1970688.86,0.54113023255814
"44","2011-06-09",16.88,-0.70588235294118,86833,1471973.32,0.40387441860465
"45","2011-06-10",16.88,NA,NA,NA,NA
"46","2011-06-13",16.81,-0.41469194312796,102642,1714702.69,0.47740465116279
"47","2011-06-14",17.1,1.7251635930994,189496,3239589.8,0.88137674418605
"48","2011-06-15",16.91,-1.1111111111111,108216,1841515.11,0.50333023255814
"49","2011-06-16",16.57,-2.0106445890006,118649,1973435.95,0.55185581395349
"50","2011-06-17",16.43,-0.84490042245021,113630,1875809.2,0.52851162790698
"51","2011-06-20",16.1,-2.0085209981741,91800,1493562.48,0.42697674418605
"52","2011-06-21",16.21,0.68322981366459,94599,1527565.03,0.43999534883721
"53","2011-06-22",16.16,-0.30845157310303,81800,1322969.05,0.38046511627907
"54","2011-06-23",16.62,2.8465346534654,274641,4526535.88,1.2774
"55","2011-06-24",16.99,2.2262334536703,344686,5803639.93,1.6031906976744
"56","2011-06-27",17.07,0.47086521483227,360580,6169453.57,1.6771162790698
"57","2011-06-28",17.15,0.46865846514352,198692,3390449.86,0.9241488372093
"58","2011-06-29",16.75,-2.332361516035,131700,2236291,0.61255813953488
"59","2011-06-30",16.85,0.59701492537314,225991,3822787.63,1.0511209302326
"60","2011-07-01",17.01,0.94955489614243,226357,3860186.68,1.052823255814
"61","2011-07-04",17.37,2.1164021164021,360859,6248229.87,1.6784139534884
"62","2011-07-05",17.4,0.17271157167529,316603,5486569.44,1.4725720930233
"63","2011-07-06",17.73,1.8965517241379,572754,10080973.58,2.6639720930233
"64","2011-07-07",18.3,3.2148900169205,1595602,29201900.69,5.9537388059701
"65","2011-07-08",18.08,-1.2021857923497,577266,10436205.7,2.1539776119403
"66","2011-07-11",18.07,-0.055309734513263,482259,8685063.81,1.799473880597
"67","2011-07-12",17.5,-3.1543995572773,753622,13305245.18,2.8120223880597
"68","2011-07-13",18.29,4.5142857142857,1616124,28923489.43,6.0303134328358
"69","2011-07-14",18.6,1.6949152542373,1329757,24581733.46,4.9617798507463
"70","2011-07-15",18.82,1.1827956989247,1094019,20584764.6,4.0821604477612
