"","Date","Close","ChgPer","Vol","Amt","Hsl"
"1","1996-07-01",10.48,78.231292517007,13689541,145673376,34.2238525
"2","1996-07-02",9.5,-9.3511450381679,6837824,65548762,17.09456
"3","1996-07-03",9.65,1.5789473684211,4933509,46435620,12.3337725
"4","1996-07-04",9.69,0.41450777202072,3104734,29949973,7.761835
"5","1996-07-05",9.55,-1.4447884416925,2365022,22496146,5.912555
"6","1996-07-08",9.77,2.303664921466,3593895,34801796,8.9847375
"7","1996-07-09",9.8,0.30706243602867,2772918,27037939,6.932295
"8","1996-07-10",10.31,5.2040816326531,8699937,89228642,21.7498425
"9","1996-07-11",10.18,-1.2609117361785,4099629,41541729,10.2490725
"10","1996-07-12",10.41,2.2593320235756,6126836,63562146,15.31709
"11","1996-07-15",10.58,1.6330451488953,4371337,46107612,10.9283425
"12","1996-07-16",10.5,-0.75614366729679,3379089,35169140,8.4477225
"13","1996-07-17",10.45,-0.47619047619048,3032012,31847502,7.58003
"14","1996-07-18",10.28,-1.6267942583732,1708262,17264020,4.270655
"15","1996-07-19",9.98,-2.9182879377432,2408715,24029565,6.0217875
"16","1996-07-22",9.9,-0.80160320641283,1771344,17488425,4.42836
"17","1996-07-23",10.15,2.5252525252525,1930305,19154793,4.8257625
"18","1996-07-24",10.17,0.19704433497537,1746797,17632425,4.3669925
"19","1996-07-25",10.18,0.098328416912486,2865135,29426589,7.1628375
"20","1996-07-26",9.5,-6.6797642436149,1219995,12213976,3.0499875
"21","1996-07-29",10.2,7.3684210526316,1680402,16955126,4.201005
"22","1996-07-30",9.93,-2.6470588235294,1247183,12619301,3.1179575
"23","1996-07-31",9.92,-0.10070493454179,873349,8601756,2.1833725
"24","1996-08-01",9.9,-0.2016129032258,589817,5837564,1.4745425
"25","1996-08-02",9.8,-1.010101010101,632617,6158778,1.5815425
"26","1996-08-05",9.85,0.51020408163264,445574,4343338,1.113935
"27","1996-08-06",9.92,0.71065989847716,568578,5634855,1.421445
"28","1996-08-07",9.85,-0.70564516129033,557151,5481253,1.3928775
"29","1996-08-08",9.9,0.50761421319798,551663,5445383,1.3791575
"30","1996-08-09",10.28,3.8383838383838,2624624,26822990,6.56156
"31","1996-08-12",10.18,-0.97276264591439,1237372,12708321,3.09343
"32","1996-08-13",10.18,0,542492,5473614,1.35623
"33","1996-08-14",10.29,1.0805500982318,1089799,11112079,2.7244975
"34","1996-08-15",10.12,-1.6520894071914,664243,6735909,1.6606075
"35","1996-08-16",10.42,2.9644268774704,2580708,26108542,6.45177
"36","1996-08-19",9.87,-5.278310940499,759925,7632675,1.8998125
"37","1996-08-20",9.69,-1.8237082066869,680684,6612228,1.70171
"38","1996-08-21",9.7,0.1031991744066,587170,5688636,1.467925
"39","1996-08-22",9.58,-1.2371134020618,537563,5166393,1.3439075
"40","1996-08-23",9.68,1.0438413361169,856905,8229380,2.1422625
"41","1996-08-26",9.59,-0.9297520661157,740865,7062039,1.8521625
"42","1996-08-27",9.75,1.6684045881126,709630,6805711,1.774075
"43","1996-08-28",9.92,1.7435897435897,917498,8999525,2.293745
"44","1996-08-29",9.95,0.3024193548387,756587,7461815,1.8914675
"45","1996-08-30",10.1,1.5075376884422,1327821,13382144,3.3195525
"46","1996-09-02",9.85,-2.4752475247525,851329,8442263,2.1283225
"47","1996-09-03",9.68,-1.7258883248731,514800,5038130,1.287
"48","1996-09-04",9.7,0.20661157024793,625032,6039054,1.56258
"49","1996-09-05",9.83,1.340206185567,1205354,11990850,3.013385
"50","1996-09-06",10.14,3.1536113936928,4257388,43096735,10.64347
"51","1996-09-09",10.34,1.9723865877712,8227378,85631574,20.568445
"52","1996-09-10",9.18,-11.218568665377,3349652,31776115,8.37413
"53","1996-09-11",8.87,-3.3769063180828,2255521,19969414,5.6388025
"54","1996-09-12",8.47,-4.5095828635851,2308146,19764549,5.770365
"55","1996-09-13",8.81,4.0141676505313,1145521,9700023,2.8638025
"56","1996-09-16",8.48,-3.7457434733258,928460,7861100,2.32115
"57","1996-09-17",8.22,-3.0660377358491,897100,7526598,2.24275
"58","1996-09-18",8.22,0,659087,5466255,1.6477175
"59","1996-09-19",8.1,-1.4598540145986,885938,7173628,2.214845
"60","1996-09-20",8.42,3.9506172839506,627241,5177410,1.5681025
"61","1996-09-23",8.93,6.0570071258907,1938573,16872956,4.8464325
"62","1996-09-24",8.67,-2.9115341545353,1623895,14242492,4.0597375
"63","1996-09-25",8.35,-3.6908881199539,738500,6253536,1.84625
"64","1996-09-26",8.55,2.3952095808383,1025053,8675870,2.5626325
"65","1996-09-27",8.44,-1.2865497076024,854500,7266774,2.13625
"66","1996-10-03",8.45,0.11848341232227,925254,7888573,2.313135
"67","1996-10-04",8.34,-1.301775147929,611700,5141389,1.52925
"68","1996-10-07",8.48,1.6786570743405,892419,7417097,2.2310475
"69","1996-10-08",8.44,-0.47169811320756,592965,4993095,1.4824125
"70","1996-10-09",8.33,-1.303317535545,717670,5975173,1.794175
