"","Date","Close","ChgPer","Vol","Amt","Hsl"
"1","1997-07-04",8.8,66.666666666667,20202603,171640196,60.668477477477
"2","1997-07-07",8.75,-0.56818181818183,12416443,110989052,37.286615615616
"3","1997-07-08",9.37,7.0857142857143,8437932,77355780,25.339135135135
"4","1997-07-09",8.97,-4.2689434364995,5428100,49156134,16.300600600601
"5","1997-07-10",8.8,-1.8952062430323,4552562,40994939,13.671357357357
"6","1997-07-11",9.68,10,7758947,72871008,23.300141141141
"7","1997-07-14",10.05,3.8223140495868,9990656,99580673,30.00196996997
"8","1997-07-15",9.97,-0.79601990049751,4768044,47299856,14.31845045045
"9","1997-07-16",10.27,3.0090270812437,4985617,50723296,14.971822822823
"10","1997-07-17",10.2,-0.68159688412853,2823879,28908688,8.4801171171171
"11","1997-07-18",10.07,-1.2745098039216,2511400,25358404,7.5417417417417
"12","1997-07-21",9.6,-4.6673286991063,3386222,33328642,10.168834834835
"13","1997-07-22",9.75,1.5625,2313850,22368325,6.9484984984985
"14","1997-07-23",9.68,-0.71794871794872,1856870,18400875,5.5761861861862
"15","1997-07-24",9.49,-1.9628099173554,1157930,11095643,3.4772672672673
"16","1997-07-25",9.37,-1.2644889357218,1266700,11859121,3.8039039039039
"17","1997-07-28",9.4,0.32017075773747,932324,8703434,2.7997717717718
"18","1997-07-29",9.53,1.3829787234042,840699,7928140,2.5246216216216
"19","1997-07-30",9.67,1.4690451206716,934615,8947571,2.8066516516517
"20","1997-07-31",9.7,0.31023784901757,1407450,13841891,4.2265765765766
"21","1997-08-01",9.76,0.61855670103093,661400,6406787,1.9861861861862
"22","1997-08-04",10,2.4590163934426,1227701,12218942,3.6867897897898
"23","1997-08-05",9.81,-1.9,1016800,10159552,3.0534534534535
"24","1997-08-06",9.38,-4.3832823649337,1050700,10100591,3.1552552552553
"25","1997-08-07",9.76,4.0511727078891,811200,7698423,2.436036036036
"26","1997-08-08",9.48,-2.8688524590164,1137299,10877425,3.4153123123123
"27","1997-08-11",9.11,-3.9029535864979,1067160,9811138,3.2046846846847
"28","1997-08-12",8.78,-3.622392974753,910800,8235652,2.7351351351351
"29","1997-08-13",8.71,-0.79726651480636,686350,6081395,2.0611111111111
"30","1997-08-14",9,3.3295063145809,470450,4182565,1.4127627627628
"31","1997-08-15",8.63,-4.1111111111111,576580,5030722,1.7314714714715
"32","1997-08-18",8.35,-3.2444959443801,593555,4968448,1.7824474474474
"33","1997-08-19",8.33,-0.23952095808383,395600,3289316,1.187987987988
"34","1997-08-20",8.68,4.2016806722689,521100,4408110,1.5648648648649
"35","1997-08-21",8.6,-0.92165898617512,460750,3975924,1.3836336336336
"36","1997-08-22",8.72,1.3953488372093,469275,4056354,1.4092342342342
"37","1997-08-25",8.27,-5.1605504587156,939399,7885669,2.821018018018
"38","1997-08-26",7.95,-3.869407496977,1432715,11391865,4.3024474474474
"39","1997-08-27",8.23,3.5220125786164,878125,7115790,2.637012012012
"40","1997-08-28",8.29,0.72904009720533,812800,6658176,2.4408408408408
"41","1997-08-29",8.29,0,702040,5769598,2.1082282282282
"42","1997-09-01",8.38,1.0856453558504,1439369,11850220,4.3224294294294
"43","1997-09-02",8.41,0.3579952267303,650700,5455940,1.9540540540541
"44","1997-09-03",8.49,0.9512485136742,932988,7848181,2.8017657657658
"45","1997-09-04",8.57,0.94228504122497,775111,6641071,2.3276606606607
"46","1997-09-05",8.46,-1.2835472578763,557690,4715668,1.6747447447447
"47","1997-09-08",8.45,-0.11820330969269,814600,6821360,2.4462462462462
"48","1997-09-09",8.29,-1.8934911242604,549100,4631031,1.6489489489489
"49","1997-09-10",8.38,1.0856453558504,529037,4387097,1.5886996996997
"50","1997-09-11",8.58,2.3866348448687,973150,8252013,2.9223723723724
"51","1997-09-12",8.72,1.6317016317016,2814144,24559886,8.4508828828829
"52","1997-09-15",8.72,0,2814965,25056179,8.4533483483483
"53","1997-09-16",8.6,-1.3761467889908,976070,8383832,2.9311411411411
"54","1997-09-17",8.3,-3.4883720930232,466000,3903395,1.3993993993994
"55","1997-09-18",8.3,0,318700,2651932,0.95705705705706
"56","1997-09-19",8.36,0.72289156626504,304345,2532795,0.91394894894895
"57","1997-09-22",7.72,-7.6555023923445,625770,5013127,1.8791891891892
"58","1997-09-23",7.15,-7.3834196891192,685700,5076195,2.0591591591592
"59","1997-09-24",7.51,5.034965034965,686695,5098633,2.0621471471471
"60","1997-09-25",7.67,2.1304926764314,748032,5737674,2.2463423423423
"61","1997-09-26",7.82,1.9556714471969,1044600,7996446,3.1369369369369
"62","1997-09-29",7.45,-4.7314578005115,375900,2839974,1.1288288288288
"63","1997-09-30",7.54,1.2080536912752,248500,1878438,0.74624624624625
"64","1997-10-06",7.55,0.13262599469496,117250,885484,0.3521021021021
"65","1997-10-07",7.5,-0.66225165562914,152830,1138954,0.45894894894895
"66","1997-10-08",7.74,3.2,252225,1945114,0.75743243243243
"67","1997-10-09",7.69,-0.64599483204134,238470,1847969,0.71612612612613
"68","1997-10-10",7.71,0.26007802340702,188900,1452881,0.56726726726727
