"","Date","Close","ChgPer","Vol","Amt","Hsl"
"1","1997-10-30",12.12,118.7725631769,21455591,263141712,59.598863888889
"2","1997-10-31",11.32,-6.6006600660066,7439811,84416271,20.666141666667
"3","1997-11-03",10.95,-3.2685512367491,2411010,26602476,6.69725
"4","1997-11-04",11.12,1.5525114155251,2161385,23975526,6.0038472222222
"5","1997-11-05",10.88,-2.158273381295,2709972,29552163,7.5277
"6","1997-11-06",11.05,1.5625,2545739,27884778,7.0714972222222
"7","1997-11-07",11.07,0.18099547511312,2047487,22617885,5.6874638888889
"8","1997-11-10",10.6,-4.2457091237579,1631486,17683724,4.5319055555556
"9","1997-11-11",10.3,-2.8301886792453,1965060,20188866,5.4585
"10","1997-11-12",10.02,-2.7184466019418,1424195,14444557,3.9560972222222
"11","1997-11-13",10.45,4.2914171656687,1573719,16179899,4.3714416666667
"12","1997-11-14",10.23,-2.1052631578947,865458,8920737,2.40405
"13","1997-11-17",10.07,-1.564027370479,669300,6802321,1.8591666666667
"14","1997-11-18",9.76,-3.0784508440914,1127900,11171808,3.1330555555556
"15","1997-11-19",9.7,-0.61475409836066,789268,7708692,2.1924111111111
"16","1997-11-20",9.56,-1.4432989690722,805990,7811640,2.2388611111111
"17","1997-11-21",9.21,-3.6610878661088,1082750,10079260,3.0076388888889
"18","1997-11-24",9.16,-0.54288816503801,860352,7967456,2.3898666666667
"19","1997-11-25",9.27,1.2008733624454,639347,5877963,1.7759638888889
"20","1997-11-26",9.52,2.6968716289105,596827,5595959,1.6578527777778
"21","1997-11-27",9.1,-4.4117647058824,576350,5295631,1.6009722222222
"22","1997-11-28",9.38,3.0769230769231,632296,5815991,1.7563777777778
"23","1997-12-01",9.19,-2.0255863539446,370300,3409405,1.0286111111111
"24","1997-12-02",9.17,-0.21762785636561,301242,2767912,0.83678333333333
"25","1997-12-03",9,-1.8538713195202,403502,3641338,1.1208388888889
"26","1997-12-04",9.25,2.7777777777778,490440,4490243,1.3623333333333
"27","1997-12-05",9.1,-1.6216216216216,548830,5029686,1.5245277777778
"28","1997-12-08",9.4,3.2967032967033,676110,6329313,1.8780833333333
"29","1997-12-09",9.5,1.063829787234,493723,4633335,1.3714527777778
"30","1997-12-10",9.48,-0.21052631578947,724100,6906977,2.0113888888889
"31","1997-12-11",9.35,-1.3713080168776,404532,3775890,1.1237
"32","1997-12-12",9.26,-0.96256684491978,369000,3429672,1.025
"33","1997-12-15",9.58,3.4557235421166,724835,6836585,2.0134305555556
"34","1997-12-16",9.66,0.83507306889353,1276380,12420508,3.5455
"35","1997-12-17",9.28,-3.9337474120083,839300,7861273,2.3313888888889
"36","1997-12-18",9.2,-0.86206896551724,480950,4444826,1.3359722222222
"37","1997-12-19",9.45,2.7173913043478,573331,5356249,1.5925861111111
"38","1997-12-22",9.7,2.6455026455026,960945,9151164,2.6692916666667
"39","1997-12-23",9.5,-2.0618556701031,542500,5191920,1.5069444444444
"40","1997-12-24",9.72,2.3157894736842,858559,8300569,2.3848861111111
"41","1997-12-25",10.15,4.4238683127572,2268731,22653840,6.3020305555556
"42","1997-12-26",10.1,-0.49261083743843,1419501,14356780,3.9430583333333
"43","1997-12-29",9.9,-1.980198019802,985601,9990557,2.7377805555556
"44","1997-12-30",9.76,-1.4141414141414,637950,6248826,1.7720833333333
"45","1997-12-31",9.99,2.3565573770492,670900,6682449,1.8636111111111
"46","1998-01-05",10.06,0.7007007007007,981830,9907051,2.7273055555556
"47","1998-01-06",10.15,0.89463220675944,1255639,12536508,3.4878861111111
"48","1998-01-07",10.32,1.6748768472906,1229507,12527225,3.4152972222222
"49","1998-01-08",10.21,-1.0658914728682,739210,7552458,2.0533611111111
"50","1998-01-09",9.95,-2.5465230166504,1025565,10238374,2.8487916666667
"51","1998-01-12",9.74,-2.1105527638191,1099200,10812612,3.0533333333333
"52","1998-01-13",9.1,-6.570841889117,1500001,13668632,4.1666694444444
"53","1998-01-14",9.3,2.1978021978022,973449,9024869,2.704025
"54","1998-01-15",9.32,0.21505376344086,698550,6494514,1.9404166666667
"55","1998-01-16",9.35,0.32188841201716,418300,3926452,1.1619444444444
"56","1998-01-19",9.19,-1.7112299465241,522880,4833611,1.4524444444444
"57","1998-01-20",9.3,1.1969532100109,458999,4216651,1.2749972222222
"58","1998-01-21",9.33,0.32258064516128,398060,3731245,1.1057222222222
"59","1998-01-22",9.45,1.2861736334405,499291,4704015,1.3869194444444
"60","1998-01-23",9.72,2.8571428571429,786823,7602001,2.1856194444444
