"","Date","Close","ChgPer","Vol","Amt","Hsl"
"1","1997-07-03",10.9,54.829545454545,17828660,203900735,49.524055555556
"2","1997-07-04",10.11,-7.2477064220184,6401658,67021815,17.782383333333
"3","1997-07-07",10.27,1.5825914935707,3729918,37982849,10.360883333333
"4","1997-07-08",10.35,0.77896786757546,2746790,28224688,7.6299722222222
"5","1997-07-09",9.93,-4.0579710144928,2101610,20934339,5.8378055555556
"6","1997-07-10",9.82,-1.1077542799597,1098290,10931704,3.0508055555556
"7","1997-07-11",10.55,7.4338085539715,3131552,32128163,8.6987555555556
"8","1997-07-14",10.7,1.4218009478673,3980020,42626555,11.055611111111
"9","1997-07-15",10.45,-2.3364485981308,1694060,17781146,4.7057222222222
"10","1997-07-16",11.1,6.2200956937799,4093620,44646301,11.371166666667
"11","1997-07-17",11,-0.9009009009009,2224083,24401109,6.1780083333333
"12","1997-07-18",11,0,1766751,19291893,4.9076416666667
"13","1997-07-21",10.76,-2.1818181818182,1702000,18555960,4.7277777777778
"14","1997-07-22",10.58,-1.6728624535316,1265501,13271101,3.5152805555556
"15","1997-07-23",10.55,-0.28355387523629,1258349,13396842,3.4954138888889
"16","1997-07-24",10.21,-3.2227488151659,739204,7699086,2.0533444444444
"17","1997-07-25",10.4,1.8609206660137,933350,9675281,2.5926388888889
"18","1997-07-28",10.15,-2.4038461538462,579550,5940467,1.6098611111111
"19","1997-07-29",10.25,0.98522167487684,558720,5711952,1.552
"20","1997-07-30",10.55,2.9268292682927,819600,8590422,2.2766666666667
"21","1997-07-31",10.46,-0.85308056872038,529770,5555565,1.4715833333333
"22","1997-08-01",10.59,1.2428298279159,619321,6497814,1.7203361111111
"23","1997-08-04",10.78,1.7941454202077,1162075,12605103,3.2279861111111
"24","1997-08-05",10.8,0.18552875695734,849690,9119247,2.36025
"25","1997-08-06",10.37,-3.9814814814815,617500,6554230,1.7152777777778
"26","1997-08-07",10.68,2.9893924783028,511330,5358876,1.4203611111111
"27","1997-08-08",10.36,-2.9962546816479,917640,9591995,2.549
"28","1997-08-11",10.4,0.3861003861004,987700,10436030,2.7436111111111
"29","1997-08-12",10.47,0.67307692307693,1847580,19774002,5.1321666666667
"30","1997-08-13",10.24,-2.1967526265521,749210,7831301,2.0811388888889
"31","1997-08-14",10.6,3.515625,690154,7281806,1.9170944444444
"32","1997-08-15",10.9,2.8301886792453,3427382,37497346,9.5205055555556
"33","1997-08-18",11.1,1.8348623853211,2475142,27557147,6.8753944444444
"34","1997-08-19",10.8,-2.7027027027027,887000,9716349,2.4638888888889
"35","1997-08-20",11.22,3.8888888888889,1342357,14888180,3.7287694444444
"36","1997-08-21",11.2,-0.1782531194296,1829000,20691609,5.0805555555556
"37","1997-08-22",11.3,0.89285714285716,1566150,17427213,4.3504166666667
"38","1997-08-25",11.45,1.3274336283186,1683418,19043671,4.6761611111111
"39","1997-08-26",11.61,1.3973799126638,1842360,21280616,5.1176666666667
"40","1997-08-27",11.61,0,1364000,15798351,3.7888888888889
"41","1997-08-28",11.44,-1.464254952627,1315500,15067649,3.6541666666667
"42","1997-08-29",11.7,2.2727272727273,1601060,18627332,4.4473888888889
"43","1997-09-01",11.7,0,994342,11670327,2.7620611111111
"44","1997-09-02",11.49,-1.7948717948718,930399,10737034,2.5844416666667
"45","1997-09-03",11.58,0.78328981723237,1116653,12896792,3.1018138888889
"46","1997-09-04",11.72,1.2089810017271,1240000,14518462,3.4444444444444
"47","1997-09-05",11.81,0.7679180887372,1110529,13117244,3.0848027777778
"48","1997-09-08",11.64,-1.4394580863675,784800,9196037,2.18
"49","1997-09-09",11.25,-3.3505154639175,863500,9894498,2.3986111111111
"50","1997-09-10",11.3,0.44444444444445,780853,8798630,2.1690361111111
"51","1997-09-11",11.23,-0.61946902654868,1027910,11536286,2.8553055555556
"52","1997-09-12",10.85,-3.3837934105076,601900,6653168,1.6719444444444
"53","1997-09-15",10.6,-2.3041474654378,612500,6533356,1.7013888888889
"54","1997-09-16",10.68,0.75471698113208,375770,3996657,1.0438055555556
"55","1997-09-17",10.61,-0.65543071161049,307200,3248160,0.85333333333333
"56","1997-09-18",10.8,1.7907634307257,321032,3468364,0.89175555555556
"57","1997-09-19",10.82,0.18518518518518,238900,2583226,0.66361111111111
"58","1997-09-22",9.96,-7.9482439926063,554100,5710271,1.5391666666667
"59","1997-09-23",9.65,-3.1124497991968,713303,7080405,1.9813972222222
"60","1997-09-24",10.12,4.8704663212435,607403,6093683,1.6872305555556
"61","1997-09-25",10.29,1.6798418972332,782750,8122729,2.1743055555556
"62","1997-09-26",10.16,-1.2633624878523,467200,4774399,1.2977777777778
"63","1997-09-29",9.81,-3.4448818897638,324100,3227635,0.90027777777778
"64","1997-09-30",10,1.9367991845056,339900,3382870,0.94416666666667
"65","1997-10-06",10.02,0.2,170310,1703890,0.47308333333333
"66","1997-10-07",10.1,0.79840319361278,182999,1831900,0.50833055555556
"67","1997-10-08",10.42,3.1683168316832,350490,3642295,0.97358333333333
"68","1997-10-09",10.4,-0.19193857965451,296250,3077766,0.82291666666667
"69","1997-10-10",10.5,0.96153846153846,274100,2863111,0.76138888888889
