"","Date","Close","ChgPer","Vol","Amt","Hsl"
"1","2009-09-29",15.35,61.578947368421,17563712,255788109.99,78.409428571429
"2","2009-09-30",15.36,0.065146579804559,13885029,212186698.32,61.986736607143
"3","2009-10-09",16.18,5.3385416666667,10939018,171461273.08,48.834901785714
"4","2009-10-12",16.21,0.18541409147096,7907753,127034423.52,35.30246875
"5","2009-10-13",15.98,-1.4188772362739,4916110,77778942.26,21.946919642857
"6","2009-10-14",15.86,-0.75093867334168,6043211,97880443.44,26.978620535714
"7","2009-10-15",15.88,0.12610340479194,3732345,59247380.93,16.662254464286
"8","2009-10-16",16.49,3.8413098236776,5759082,92908157.36,25.7101875
"9","2009-10-19",17.27,4.7301394784718,8041155,139405076.89,35.898013392857
"10","2009-10-20",17.88,3.5321366531558,6450991,113071046.69,28.799066964286
"11","2009-10-21",17.28,-3.3557046979866,5821694,102672625.14,25.989705357143
"12","2009-10-22",18.1,4.7453703703704,6429518,114642798.51,28.703205357143
"13","2009-10-23",18.05,-0.27624309392266,5496025,99078457.61,24.535825892857
"14","2009-10-26",17.52,-2.9362880886427,3237534,57153190.88,14.453276785714
"15","2009-10-27",16.57,-5.4223744292237,4068485,68484859.56,18.162879464286
"16","2009-10-28",17.41,5.0694025347013,3380270,57745858.95,15.090491071429
"17","2009-10-29",17.44,0.17231476163125,4244765,74400198.34,18.94984375
"18","2009-10-30",17.51,0.40137614678899,6879120,123061181.75,30.710357142857
"19","2009-11-02",17.75,1.3706453455168,3174312,54860690.89,14.171035714286
"20","2009-11-03",18.68,5.2394366197183,6055226,110481091.85,27.032258928571
"21","2009-11-04",18.9,1.1777301927195,5366094,101828887.61,23.955776785714
"22","2009-11-05",18.76,-0.74074074074072,2628766,49335149.68,11.7355625
"23","2009-11-06",18.35,-2.1855010660981,2690299,49958130.79,12.010263392857
"24","2009-11-09",19,3.5422343324251,2552678,48244894.17,11.395883928571
"25","2009-11-10",18.6,-2.1052631578947,2045456,38374941.46,9.1315
"26","2009-11-11",18.5,-0.53763440860216,1776352,32742519.93,7.9301428571429
"27","2009-11-12",18.5,NA,NA,NA,NA
"28","2009-11-13",18.91,2.2162162162162,2896062,54629387.21,12.928848214286
"29","2009-11-16",19.09,0.95187731359069,3195557,61489655.24,14.265879464286
"30","2009-11-17",18.84,-1.30958617077,2516538,47507160.38,11.234544642857
"31","2009-11-18",18.96,0.63694267515924,1614949,30411413.58,7.20959375
"32","2009-11-19",19.34,2.0042194092827,4262225,82353593.16,19.027790178571
"33","2009-11-20",19.38,0.20682523267838,2790548,54306645.53,12.457803571429
"34","2009-11-23",20.59,6.2435500515996,4573766,91783804.51,20.418598214286
"35","2009-11-24",19.12,-7.1393880524526,4221493,84279406.55,18.845950892857
"36","2009-11-25",20.27,6.0146443514644,3580553,71134945.3,15.984611607143
"37","2009-11-26",19.89,-1.8746916625555,4758853,97622808.98,21.244879464286
"38","2009-11-27",20.17,1.4077425842132,3369730,67503928.35,15.0434375
"39","2009-11-30",21.18,5.0074367873079,4278915,88470630.98,19.102299107143
"40","2009-12-01",22,3.8715769593957,4136464,89752227.07,18.466357142857
"41","2009-12-02",21.98,-0.090909090909089,3640585,80059771.35,16.252611607143
"42","2009-12-03",23.35,6.2329390354868,3725911,83891914.12,16.63353125
"43","2009-12-04",22,-5.7815845824411,4977475,112754332.71,22.220870535714
"44","2009-12-07",22.54,2.4545454545455,2159186,48449295.14,9.6392232142857
"45","2009-12-08",23.27,3.2386867790595,2775631,63130459.43,12.391209821429
"46","2009-12-09",24.19,3.9535883111302,4544070,108655450.3,20.286026785714
"47","2009-12-10",24.39,0.82678792889624,2709164,65574045.24,12.094482142857
"48","2009-12-11",23.83,-2.2960229602296,2697122,64780977.32,12.040723214286
"49","2009-12-14",24.57,3.1053294167016,3475497,81344457.78,15.515611607143
"50","2009-12-15",25.05,1.953601953602,3503933,87255782.21,15.642558035714
"51","2009-12-16",25.09,0.15968063872255,2591785,64678984.95,11.57046875
"52","2009-12-17",23.35,-6.9350338780391,3273353,78799056.02,14.613183035714
"53","2009-12-18",23.35,NA,NA,NA,NA
"54","2009-12-21",22.77,-2.4839400428266,2027571,45940985.12,9.05165625
"55","2009-12-22",20.95,-7.9929732103645,2564114,55887121.39,11.4469375
"56","2009-12-23",21.09,0.66825775656325,1696686,35822203.83,7.5744910714286
"57","2009-12-24",22.28,5.642484589853,2651625,57810303.68,11.837611607143
"58","2009-12-25",22.29,0.044883303411122,1747554,38938284.24,7.8015803571429
"59","2009-12-28",22.56,1.2113055181696,1582226,35667377.89,7.0635089285714
"60","2009-12-29",23.32,3.3687943262411,5565551,126274273.37,19.876967857143
"61","2009-12-30",23,-1.3722126929674,4623642,107570346.24,16.513007142857
"62","2009-12-31",23.32,1.3913043478261,2857753,65702369.95,10.206260714286
"63","2010-01-04",24.07,3.2161234991424,3801490,90891870.29,13.57675
"64","2010-01-05",24.2,0.54009140008309,3639431,87973976.3,12.997967857143
"65","2010-01-06",24.16,-0.16528925619834,4198126,102264991.86,14.993307142857
"66","2010-01-07",24.17,0.041390728476828,3868041,93776805.82,13.814432142857
