"","Days","FirstHslRe","APS","Rate","Stage1","Stage3","Stage4","Sector1","S48","Prediction","ActDays","Error","Code"
"1",0,-1.92909321802353,1.47932922708708,1.0491,1,0,0,0,0,3.15282381971547,1,2,"002705.SZ"
"2",0,-2.34473834584333,2.1126345090356,1.4258,1,0,0,0,0,2.02274376068824,1,1,"002706.SZ"
"3",1.38629436111989,-1.76491640427624,1.88403474533723,1.0828,1,0,0,0,0,2.81068898033536,4,2,"002707.SZ"
"4",0,-1.96544064253593,1.82776990675109,1.8326,1,0,0,0,0,1.92153227748709,1,0,"002708.SZ"
"5",1.09861228866811,-2.97989704225615,1.85002837735203,1.2837,1,0,0,0,0,2.12633219792215,3,1,"002709.SZ"
"6",0.693147180559945,-1.74772912692239,1.99197551589856,2.0434,1,0,0,0,0,1.70590932062864,2,1,"002711.SZ"
"7",1.38629436111989,-2.13399737732352,2.15871472257434,1.1473,1,0,0,0,0,2.36185316612216,4,2,"002712.SZ"
"8",1.6094379124341,-0.780596012250634,1.84213567655312,0.6491,1,0,0,0,0,4.10853865526528,5,1,"002713.SZ"
"9",0,-0.863835910630799,1.9473377010465,2.5813,1,0,0,0,0,1.5288189279671,1,0,"002714.SZ"
"10",1.6094379124341,-0.674854803565821,1.61342993370364,0.4562,1,0,0,0,0,4.92399325355636,5,1,"002715.SZ"
"11",0,-1.86697072595023,1.98787434815435,2.5636,1,0,0,0,0,1.30037242121083,1,0,"002716.SZ"
"12",1.6094379124341,-0.488213509925429,1.9213246735827,0.5774,1,0,0,0,0,4.3484072789101,5,1,"002717.SZ"
"13",0.693147180559945,-2.22144540981702,2.01089499914473,2.0954,1,0,0,0,0,1.53460891758999,2,1,"002718.SZ"
"14",0,-2.30696587634826,1.83896107071235,2.2275,1,0,0,0,0,1.4964892758686,1,0,"002719.SZ"
"15",0.693147180559945,-1.53192970817861,1.60140574073684,1.1977,1,0,0,0,0,3.00670277976113,2,1,"002721.SZ"
"16",0.693147180559945,-1.73596147413657,1.34025042261848,2.0328,1,0,0,0,0,2.09859724832214,2,0,"002722.SZ"
"17",0,-1.85606308590408,1.85629799036563,2.0977,1,0,0,0,0,1.70266086481202,1,0,"002723.SZ"
"18",2.30258509299405,2.06988732887502,1.25276296849537,0.5957,0,0,0,0,0,11.1937127698191,10,1,"002724.SZ"
"19",0,-2.78231897937355,2.04640168760164,1.7673,1,0,0,0,0,1.63095138118592,1,0,"002725.SZ"
"20",1.94591014905531,-0.99638946401855,1.85629799036563,0.8325,0,0,0,0,0,5.11078762104743,7,2,"002726.SZ"
"21",2.19722457733622,1.21590235829463,1.93152141160321,0.6221,0,0,0,0,0,7.84191129988165,9,2,"002727.SZ"
"22",2.07944154167984,1.03056866757679,1.90508815453506,0.3773,0,0,0,0,0,8.65290228627175,8,0,"002728.SZ"
"23",2.07944154167984,1.24247435168052,1.66581824587021,0.3746,0,0,0,0,0,9.64149183178757,8,1,"002729.SZ"
"24",1.94591014905531,1.37948909939098,1.64865862558738,0.455,0,0,0,0,0,9.52277240325274,7,2,"002730.SZ"
"25",2.39789527279837,1.95390379673606,1.870262530716,0.6838,0,0,0,0,0,8.70975857337475,11,3,"002731.SZ"
"26",2.19722457733622,2.07109023412657,1.51951320490611,0.5398,0,0,0,0,0,10.6005896360081,9,1,"002732.SZ"
"27",2.07944154167984,1.97667261658781,2.06051353179432,0.4968,0,0,0,0,0,9.03300023662296,8,1,"002733.SZ"
"28",2.07944154167984,1.76726199762767,1.96571277635149,0.7144,0,0,0,0,0,8.09131367388069,8,0,"002734.SZ"
"29",2.39789527279837,1.71479842809193,1.65249740189455,0.327,0,0,0,0,0,10.6740138634027,11,1,"002735.SZ"
"30",2.484906649788,3.03049454036628,1.23547147138531,1.7972,0,0,0,0,0,7.28282521943284,12,5,"002736.SZ"
"31",1.38629436111989,1.01785329385922,2.65605490598383,0.638,0,0,0,0,0,6.03767073584561,4,2,"002737.SZ"
"32",2.63905732961526,2.32619495863318,1.60542989103656,0.3962,0,0,0,0,0,11.5283476408316,14,3,"002738.SZ"
"33",2.484906649788,2.55747734262284,1.92861865194525,0.8622,0,0,0,0,0,8.6238374401967,12,4,"002739.SZ"
"34",1.94591014905531,1.56255432653525,2.14006616349627,0.9416,0,0,0,0,0,6.64653806954267,7,1,"002740.SZ"
"35",1.94591014905531,1.73537913579197,1.7561322915849,0.3979,0,0,0,0,0,10.0203760747401,7,3,"002741.SZ"
"36",1.6094379124341,1.70558177298698,2.42657107277504,1.0508,0,0,0,0,0,5.9022942963965,5,0,"002742.SZ"
"37",2.19722457733622,1.86065817432294,1.78002421300963,0.7721,0,0,0,0,0,8.45167498409833,9,1,"002743.SZ"
"38",1.6094379124341,1.90841954013984,1.61938824328727,1.1371,0,0,0,0,0,7.48615317594751,5,2,"002745.SZ"
"39",2.30258509299405,1.92899011365131,1.81156209652423,0.3912,0,0,0,0,0,10.1896304962649,10,0,"002746.SZ"
"40",3.04452243772342,2.3680128983165,1.28093384546206,0.3913,0,1,0,0,0,16.8310276213133,21,5,"002747.SZ"
"41",1.79175946922805,1.71665199674123,2.04510886259933,0.6055,0,1,0,0,0,10.8197758871719,6,4,"002748.SZ"
"42",1.79175946922805,1.88827036960892,2.31253542384721,0.6873,0,1,0,0,0,9.83904164972966,6,3,"002749.SZ"
"43",2.19722457733622,2.21408229141778,2.14006616349627,0.6441,0,1,0,0,0,11.1533409058688,9,2,"002750.SZ"
"44",3.29583686600433,1.69005025840271,1.74919985480926,0.3387,0,1,0,0,0,13.4407161214647,27,14,"002751.SZ"
"45",3.13549421592915,2.02243128696308,1.10856261952128,0.5264,0,1,0,0,0,15.7331467140789,23,8,"002752.SZ"
